t,plant,axis,organ,AA_consumption_mstruct,C_exudation,Export_Amino_Acids,Export_Nitrates,Export_cytokinins,HATS_LATS,N_exudation,Nstruct,RGR_Structure,R_Nnit_red,R_Nnit_upt,R_grain_growth_starch,R_grain_growth_struct,R_min_upt,R_residual,Respi_growth,S_Amino_Acids,S_Proteins,S_cytokinins,S_grain_starch,S_grain_structure,Total_Organic_Nitrogen,Unloading_Amino_Acids,Unloading_Sucrose,Uptake_Nitrates,age_from_flowering,amino_acids,cytokinins,delta_mstruct_growth,mstruct,nitrates,proteins,rate_mstruct_death,regul_transpiration,senesced_mstruct,starch,structure,sucrose,sucrose_consumption_mstruct,sum_respi
28,1,MS,roots,0.01746760,6.26441342,0.00586699,0.00652384,0.00080831,1.10523633,0.24291730,0.00017917,NA,0.07734893,0.05541469,NA,NA,NA,0.04952003,0.60321429,1.09136015,NA,0.86442965,NA,NA,15.38835970,1.05913330,31.32206711,0.13958359,NA,2.59039825,9.41494427,0.00004891,0.03579489,25.39258916,NA,0.00000000,0.00001433,0.00000000,NA,NA,66.80185104,1.75165046,0.18228365
29,1,MS,phloem,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,4.30074762,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,127.76832666,NA,NA
29,1,MS,roots,0.01740262,6.29310421,0.00516798,0.00566691,0.00070178,1.11552611,0.25503244,0.00017942,NA,0.07789042,0.05470411,NA,NA,NA,0.04947361,0.60097055,1.09750621,NA,0.85753584,NA,NA,15.45138394,1.05914563,31.46552106,0.13779373,NA,2.63601987,9.44490078,0.00004873,0.03584362,25.48519292,NA,0.00000000,0.00001240,0.00000000,NA,NA,65.04563774,1.74513494,0.18206814
30,1,MS,phloem,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,4.20429464,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,125.41477385,NA,NA
30,1,MS,roots,0.01720825,6.26449154,0.00530374,0.00573487,0.00070987,1.12172912,0.26528573,0.00017966,NA,0.07812538,0.05378072,NA,NA,NA,0.04925666,0.59425815,1.09933913,NA,0.84623393,NA,NA,15.51373233,1.05002654,31.32245770,0.13546781,NA,2.68116001,9.47447889,0.00004818,0.03589180,25.57527226,NA,0.00000000,0.00001250,0.00000000,NA,NA,63.31325981,1.72564306,0.18116276
31,1,MS,phloem,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,4.11317193,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,123.06276519,NA,NA
31,1,MS,roots,0.01698252,6.19034632,0.00859217,0.00916468,0.00113396,1.12769871,0.27358053,0.00017989,NA,0.07831263,0.05283750,NA,NA,NA,0.04900174,0.58646317,1.10051596,NA,0.83337653,NA,NA,15.57206160,1.03451108,30.95173161,0.13309195,NA,2.72250675,9.50320570,0.00004755,0.03593935,25.65943674,NA,0.00000000,0.00001991,0.00000000,NA,NA,61.60255577,1.70300754,0.18015187
32,1,MS,phloem,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,4.02430890,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,120.72003676,NA,NA
32,1,MS,roots,0.01650639,6.16159873,0.01116018,0.01175840,0.00145451,1.12391779,0.28373189,0.00018012,NA,0.07780435,0.05147053,NA,NA,NA,0.04837976,0.57002064,1.09196899,NA,0.81258676,NA,NA,15.62695938,1.02701164,30.80799367,0.12964870,NA,2.76089814,9.53089645,0.00004622,0.03598557,25.73780337,NA,0.00000000,0.00002546,0.00000000,NA,NA,59.95641366,1.65526071,0.17765464
33,1,MS,phloem,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,3.94383506,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,118.40937993,NA,NA
